9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
47,"Meloxicam Taste-Masked Oral Disintegrating Tablet with Dissolution Enhanced by Ion Exchange Resins and Cyclodextrin (HSC) Medicine - Drug Design; (PHY) Chemistry;  AAPS PharmSciTech ---Springer Pharmaceutical Development of Green Innovations Group (PDGIG), Faculty of Pharmacy, Silpakorn University, Nakhon Pathom, 73000 Thailand http://retractionwatch.com/2014/07/15/error-in-data-compilation-leaves-bitter-taste-for-paper-on-sweeter-tasting-pills/",+Error in Data,Wipada Samprasit Prasert Akkaramongkolporn Tanasait Ngawhirunpat Theerasak Rojanarata Praneet Opanasopit,07/09/2013 23835739 10.1208/s12249-013-0001-y,02/04/2014 24493384 10.1208/s12249-014-0083-1,Research Article Retraction,Thailand No
3835,"A three-dimensional finite element analysis of the effects of restorative materials and post geometry on stress distribution in mandibular molar tooth restored with post-core crown (HSC) Medicine - Dentistry; (PUB) Society/Association Journals;  Dental Materials Journal ---The Japanese Society for Dental Materials and Devices Mechanical Engineering Department, School of Engineering, Shahid Bahonar UniversityDepartment of Oral Medicine, Faculty of Dentistry, Kerman Oral and Dental Diseases Research Center Blvd Jomhorieslami http://retractionwatch.com/2014/02/13/a-first-dental-journal-retracts-three-papers-because-authors-didnt-pay-publication-charges/",+Breach of Policy by Author+Nonpayment of Fees/Refusal to Pay+Notice - Limited or No Information,Mojtaba Mahmoudi Alireza Saidi Saied Abdolreza Gandjalikhan Nassab Maryam Alsadat Hashemipour,03/23/2012 22447049 10.4012/dmj.2011-138,02/01/2014 24492126 10.4012/dmj.2011-138-e,Research Article Retraction,Iran No
3255,ACOG Committee Opinion No. 404: Late–Preterm Infants (Obstet Gynecol 2008;111:1029–32) (BLS) Biology - General; (HSC) Medicine - Obstetrics/Gynecology;  Obstetrics and Gynecology ---Wolters Kluwer - Lippincott Williams & Wilkins unavailable,+Notice - Limited or No Information+Withdrawal,Committee on Obstetric Practice,04/01/2008 18378769 10.1097/AOG.0b013e31817327d0,02/01/2014 24451673 10.1097/01.AOG.0000443275.60651.dc,Research Article Retraction,Unknown No
2469,"Avian reovirus nonstructural protein p17-induced G(2)/M cell cycle arrest and host cellular protein translation shutoff involve activation of p53-dependent pathways (BLS) Biology - Cellular; (BLS) Zoology; (HSC) Medicine - Infectious Disease; (PUB) Society/Association Journals;  Journal of Virology ---American Society for Microbiology Institute of Molecular Biology, National Chung-Hsing University, Taichung 402, Taiwan Graduate Institute of Biotechnology and Department of Tropical Agriculture and International Cooperation, National Pingtung University of Science and Technology, Pingtung 912, Taiwan http://retractionwatch.com/2014/01/21/data-manipulation-knocks-bird-virus-paper-off-perch/",+Duplication of Data+Duplication of Image+Manipulation of Images,Julius L C Chulu Wei R Huang L Wang Wen L Shih Hung J Liu,08/01/2010 20484520 10.1128/JVI.02604-09,02/01/2014 24425695 10.1128/JVI.03512-13,Research Article Retraction,Taiwan No
2801,"Epigenetic Aberrant Methylation of Tumor Suppressor Genes in Small Cell Lung Cancer (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Cardiovascular;  Journal of Thoracic Disease ---AME Publishing Company Department of Thoracic Surgery, Provincial Hospital Affiliated to Shandong University, Jinan 250021, P. R. China http://retractionwatch.com/2014/03/13/why-was-that-lung-cancer-paper-retracted-the-authors-reason-of-course/",+Nonpayment of Fees/Refusal to Pay+Notice - Limited or No Information,Shuai Wang Zhou Wang,08/01/2013 23991313 10.3978/j.issn.2072-1439.2013.08.21,02/01/2014 24605244 10.3978/j.issn.2072-1439.2013.09.12,Research Article Retraction,China No
4403,"G-Protein–Coupled Receptor 30 and Estrogen Receptor-a Are Involved in the Proliferative Effects Induced by Atrazine in Ovarian Cancer Cells (BLS) Biology - Molecular; (BLS) Toxicology; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology;  Environmental Health Perspectives ---National Institute of Environmental Health Sciences Department of Pharmaco-Biology, University of Calabria, 87030 Rende (CS), Italy http://retractionwatch.com/2015/01/20/retracted-paper-herbicide-ovarian-cancer-connection-republished/ http://retractionwatch.com/2013/12/12/herbicide-ovarian-cancer-study-to-be-retracted/",+Error in Data+Retract and Replace,Lidia Albanito Rosamaria Lappano Antonio Madeo Adele Chimento Eric R Prossnitz Anna Rita Cappello Vincenza Dolce Sergio Abonante Vincenzo Pezzi Marcello Maggiolini,12/01/2008 19079715 10.1289/ehp.11297,02/01/2014 24486480 10.1289/ehp.11297,Research Article Retraction,Italy No
3863,"In vitro osteoinduction of human mesenchymal stem cells in biomimetic surface modified titanium alloy implants (HSC) Medicine - Dentistry; (PUB) Society/Association Journals;  Dental Materials Journal ---The Japanese Society for Dental Materials and Devices Members of Biomedical Research Networking Center in Bioengineering, Biomaterials and Nanomedicine (CIBER-BBN)Members of Group of Structural Mechanics and Materials Modelling (GEMM), Aragón Institute of Engineering Research, University of ZaragozaCarlos III Health Institute (ISCIII), Aragón Institute of Health SciencesLagenbio-Ingen, Aragón Institute of Engineering Research, University of Zaragoza http://retractionwatch.com/2014/02/13/a-first-dental-journal-retracts-three-papers-because-authors-didnt-pay-publication-charges/",+Breach of Policy by Author+Nonpayment of Fees/Refusal to Pay+Notice - Limited or No Information,Sonia Santander Clara Alcaine Jaber Lyahyai Maria Angeles Pérez Clementina Rodellar Manuel Doblare Ignacio Ochoa,10/02/2012 23037849 10.4012/dmj.2012-015,02/01/2014 24492127 10.4012/dmj.2012-015-e,Research Article Retraction,Spain No
1401,"Influence of Different Volume Therapy Regimens on Regulators of the Circulation in the Critically Ill (BLS) Biology - General; (HSC) Medicine - Anesthesia/Anaesthesia; (HSC) Medicine - Drug Design;  British Journal of Anaesthesia ---Oxford University Press Department of Anaesthesiology and Intensive Care Medicine, Justus-Liebig-University Giessen, Germany http://retractionwatch.com/2014/01/16/another-retraction-for-former-record-holder-joachim-boldt/",+Investigation by Company/Institution+Unreliable Results,Joachim Boldt M Mueller T Menges Michael Papsdorf Gunter G Hempelmann,10/01/1996 8942332 10.1093/bja/77.4.480,02/01/2014 24431372 10.1093/bja/aet488,Research Article Retraction,Germany No
1642,"Lower CSF interleukin-6 predicts future depression in a population-based sample of older women followed for 17 years (BLS) Biology - General; (HSC) Medicine - Neurology; (HSC) Medicine - Pharmacology; (HSC) Medicine - Psychiatry;  Brain, Behavior, and Immunity ---Elsevier Neuropsychiatric Epidemiology Unit, Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, Sahlgrenska Academy at The University of Gothenburg, Gothenburg, SwedenClinical Neurochemistry Laboratory, Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, Sahlgrenska Academy at The University of Gothenburg, Gothenburg, SwedenDepartment of Neurology, Institute of Neuroscience and Physiology, Sahlgrenska Academy at The University of Gothenburg, Gothenburg, Sweden http://retractionwatch.com/2014/07/01/bad-spreadsheet-merge-kills-depression-paper-quick-fix-resurrects-it/",+Doing the Right Thing+Error in Analyses+Error in Data+Error in Methods,Silke Kern Ingmar Skoog Anne Börjesson-Hanson Kaj Blennow Henrik Zetterberg Svante Östling Jürgen Kern Pia Gudmundsson Thomas Marlow Lars Rosengren Margda Waern,08/01/2013 23583855 10.1016/j.bbi.2013.03.011,02/01/2014 24567959 10.1016/j.bbi.2013.11.011,Research Article Retraction,Sweden Yes
1589,"Mechanistic Analysis of the Role of BLCA-4 in Bladder Cancer Pathobiology (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Urology/Nephrology;  Cancer Research ---American Association for Cancer Research Departments of Urology, Pathology, and Pharmacology, University of Pittsburgh and University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, USA http://retractionwatch.com/2014/02/04/former-hopkins-and-pitt-cancer-researcher-notches-sixth-retraction/ http://retractionwatch.com/?s=robert+getzenber",+Concerns/Issues About Data+Unreliable Results,Julie M Myers-Irvin Thu-Suong Van Le Robert H Getzenberg,08/15/2005 16103064 10.1158/0008-5472.CAN-05-1142,02/01/2014 24492705 10.1158/0008-5472.CAN-13-3721,Research Article Retraction,United States No
3864,"Morinda citrifolia leaves enhance osteogenic differentiation and mineralization of human periodontal ligament cells (BLS) Biology - Cellular; (HSC) Medicine - Dentistry; (PUB) Society/Association Journals;  Dental Materials Journal ---The Japanese Society for Dental Materials and Devices Department of Anatomy, Faculty of Dentistry, Mahidol UniversityDepartment of Oral Biology, School of Dental Medicine, The State University of New York at BuffaloInstitute of Agricultural Technology, Suranaree University of Technology http://retractionwatch.com/2014/02/13/a-first-dental-journal-retracts-three-papers-because-authors-didnt-pay-publication-charges/",+Breach of Policy by Author+Nonpayment of Fees/Refusal to Pay+Notice - Limited or No Information,Kanitsak Boonanantanasarn Kajohnkiart Janebodin Prapan Suppakpatana Tawepong Arayapisit Jit-aree Rodsutthi Panjit Chunhabundit Surintorn Boonanuntanasarn Wanida Sripairojthikoon,10/02/2012 23037852 10.4012/dmj.2012-053,02/01/2014 24492128 10.4012/dmj.2012-053-e,Research Article Retraction,Thailand United States No
1195,"Biologic targeting in the treatment of inflammatory bowel diseases (HSC) Medicine - Gastroenterology;  Biologics: Targets and Therapy ---Taylor and Francis - Dove Press University Hospital, Milan, Italy http://retractionwatch.com/2014/02/10/author-blames-young-coworker-for-duplication-as-paper-is-retracted/",+Breach of Policy by Author+Duplication of Text+Euphemisms for Duplication,Matteo Bosani Sandro Ardizzone Gabriele Bianchi Porro,02/09/2009 19707398 10.2147/BTT.S3080,01/31/2014 24501538 10.2147/BTT.S60301,Research Article Retraction,Italy
2182,"Restoration of motor control and dopaminergic activity in rats with unilateral 6-hydroxy-dopamine lesions (BLS) Biology - Cellular; (HSC) Medicine - Neurology;  Regenerative Medicine ---Future Medicine - Future Science Group Living Cell Technologies (NZ) Ltd, PO Box 23566, Hunters Corner, Papatoetoe, Auckland, New Zealand  StemCells Inc., 3155 Porter Drive, Palo Alto, CA 94304, USA http://retractionwatch.com/2014/01/31/biotech-company-retracts-parkinsons-treatment-study-after-possible-deviation-from-protocol/",+Concerns/Issues About Data+Results Not Reproducible,Stephen J M Skinner Hai Lin Marilyn S Geaney Thorsten Gorba Robert B Elliott Paul L J Tan,05/01/2011 21548737 10.2217/rme.11.15,01/30/2014 24475892 10.2217/rme.14.8,Research Article Retraction,New Zealand United States No
20384,"The Phosphoinositide-Dependent Kinase-1 Inhibitor 2-Amino-N-[4-[5-(2-phenanthrenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]phenyl]-acetamide (OSU-03012) Prevents Y-Box Binding Protein-1 from Inducing Epidermal Growth Factor Receptor (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  Molecular Pharmacology ---ASPET: American Society for Pharmacology and Experimental Therapeutics Laboratory for Oncogenomic Research, Department of Pediatrics, Child and Family Research Institute, University of British Columbia, Vancouver, British Columbia, Canada Laboratory for Oncogenomic Research, Departments of Pediatrics, Experimental Medicine, and Medical Genetics, Child and Family Research Institute, University of British Columbia, Vancouver, British Columbia, Canada Applied Medical Engineering, Helmholtz Institute, RWTH Aachen University, Aachen, Germany Departments of Nephrology and Clinical Immunology, University Hospital Aachen, RWTH Aachen, Aachen, Germany Division of Medical Chemistry and Pharmacognosy, the Ohio State University, Columbus, Ohio Department of Advanced Therapeutics, British Columbia Cancer Agency, Vancouver, British Columbia, Canada http://retractionwatch.com/2016/12/14/prominent-cancer-researcher-committed-nearly-30-acts-misconduct/",+Duplication of Data+Duplication of Image+Error in Data+Error in Image,K To Y Zhao H Jiang K Hu M Wang J Wu C Lee D W Yokom A L Stratford U Klinge P R Mertens Ching Shih Chen M Bally D Yapp Sandra E Dunn,08/23/2007 17595327 10.1124/mol.107.036111,01/30/2014 17595327 10.1124/mol.114.85er03,Research Article Correction,Canada Germany United States No
16843,"Different bone mineral density in cervical and endometrial cancer (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (HSC) Medicine - Orthopedics;  Climacteric ---Taylor and Francis Department of Obstetrics and Gynecology, College of Medicine, Soonchunhyang University, Seoul Department of Obstetrics and Gynecology, Institute of Wonkwang Medical Science, College of Medicine, Wonkwang University, Iksan Department of Internal Medicine, College of Medicine, Chung-Ang University, Seoul Department of Obstetrics and Gynecology, College of Medicine, Kosin University, Busan, Korea http://retractionwatch.com/2014/02/03/bone-headed-move-authors-of-cancer-skeleton-paper-copy-from-paper-in-same-journal/",+Duplication of Article+Miscommunication by Author,E S Lee B R Park A Kim C H Choi H Y Kim,11/13/2013 24138177 10.3109/13697137.2013.850479,01/29/2014 24475886 10.3109/13697137.2014.888143,Research Article Retraction,South Korea No
1575,"Primary extragonadal retroperitoneal teratoma in an adult (HSC) Radiology/Imaging; (PUB) Society/Association Journals;  British Journal of Radiology ---British Institute of Radiology Department of Radiology, Government Medical College, Nagpur, 440003, India http://retractionwatch.com/2013/02/26/primary-tumor-article-retracted-for-well-not-being-primary/",+Duplication of Article,Kishor Taori Jawahar Rathod Amol Deshmukh Virender Singh Sheorain Rajesh Jawale Rupan Sanyal Manish Bhagat,10/01/2006 1698066 10.1259/bjr/33507627,01/28/2014 2341820 10.1259/bjr.20139004,Research Article Retraction,India Yes
1613,"Antitumor Activity of Human Gamma Delta T Cells Transducted with CD8 and with T-Cell Receptors of Tumor-Specific Cytotoxic T Lymphocytes (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Immunology;  Cancer Science ---Wiley Second Department of Surgery, School of Medicine, University of Occupational and Environmental Health, Kitakyushu, Japan Second Department of Surgery, School of Medicine, University of Occupational and Environmental Health, Kitakyushu, Japan http://retractionwatch.com/2014/02/14/dispute-with-unlisted-author-whose-claim-to-authorship-could-not-be-solved-topples-cancer-paper/",+Concerns/Issues About Authorship+Objections by Third Party,Takeshi Hanagiri Yoshiki Shigematsu Koji Kuroda Tetsuro Baba Hironobu Shiota Yoshinobu Ichiki Yoshika Nagata Manabu Yasuda Tomoko So Mitsuhiro Takenoyama Fumihiro Tanaka,07/06/2012 22621620 10.1111/j.1349-7006.2012.02337.x,01/24/2014 24772487 10.1111/cas.12346,Research Article Retraction,Japan No
2259,"Chemokine profiles in blood associated with delayed asthmatic response to allergen challenge (HSC) Medicine - Drug Design; (HSC) Medicine - Pulmonology;  Respiratory Medicine ---Elsevier Allergy Research Foundation, Effenseweg 42, 4838 BB Breda, The Netherlands",+Lack of IRB/IACUC Approval+Objections by Third Party+Unreliable Data+Unreliable Results,Zdenek Pelikan,10/29/2012 23117099 10.1016/j.rmed.2012.09.013,01/24/2014 24611182 10.1016/j.rmed.2013.11.015,Clinical Study Retraction,Netherlands No
